Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
1392975286,"Sep 26, 2017, 8:32:49 PM","Ran 2,28 km em 26/09/17",Run,"Interval Training, Run",1291,2.26,,false,,activities/1503129072.tcx.gz,91.0,,1291.0,1225.0,2268.699951171875,3.299999952316284,,8.25,6.75,2.4000000953674316,8.899999618530273,3.799999952316284,0.06611716002225876,,,,,,,,,255.35140991210938,,,,,,,,,,,,,,,,0.0,,,2283.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,
1392976827,"Sep 28, 2017, 10:47:00 PM","Ran 3,82 km em 28/09/17",Run,"Interval Training, Run",1935,3.81,,false,,activities/1503130619.tcx.gz,91.0,,1935.0,1907.0,3811.89990234375,3.4000000953674316,,24.25,23.549999237060547,-0.6000000238418579,10.0,10.199999809265137,0.018363546580076218,,,,,,,,,431.75384521484375,,,,,,,,,,,,,,,,0.0,,,3861.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1392978359,"Oct 2, 2017, 10:28:04 PM","Ran 2,94 km em 02/10/17",Run,"Interval Training, Run",1481,2.92,,false,,activities/1503132225.tcx.gz,91.0,,1481.0,1456.0,2924.89990234375,3.700000047683716,,11.702381134033203,,0.5,9.0,16.700000762939453,0.10598652809858322,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392979901,"Oct 3, 2017, 8:50:07 PM","Ran 2,92 km em 03/10/17",Run,"Interval Training, Run",1646,2.91,,false,,activities/1503133864.tcx.gz,91.0,,1646.0,1587.0,2911.5,3.4000000953674316,,16.233333587646484,13.933300018310547,0.0,10.100000381469727,18.5,0.07899708300828934,,,,,,,,,329.458984375,,,,,,,,,,,,,,,,0.0,,,2946.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
1392981399,"Oct 7, 2017, 3:25:51 PM",Walked em 07/10/2017,Walk,Walk,1618,2.70,,false,,,,,1618.0,1618.0,2699.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392982125,"Oct 7, 2017, 3:30:09 PM",Corrida em 05/10/2017,Walk,Walk,1392,2.50,,false,,,,,1392.0,1392.0,2500.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392982837,"Oct 9, 2017, 8:57:46 PM","Ran 3,91 km em 09/10/17",Run,Run,1707,3.90,,false,,activities/1503136852.tcx.gz,91.0,,1707.0,1684.0,3902.800048828125,17.399999618530273,,51.64285659790039,44.14289855957031,4.5,28.399999618530273,19.899999618530273,0.19216972589492798,,,,,,,,,456.32965087890625,,,,,,,,,,,,,,,,0.0,,,4081.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,
1392984521,"Oct 11, 2017, 1:32:07 PM","Ran 2,99 km em 11/10/17",Run,Run,1709,2.98,,false,,activities/1503138557.tcx.gz,91.0,,1709.0,1619.0,2982.89990234375,6.599999904632568,,71.94047546386719,64.7405014038086,2.9000000953674316,42.0,49.70000076293945,0.2413758486509323,,,,,,,,,361.6714172363281,,,,,,,,,,,,,,,,0.0,,,3234.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,
1392986135,"Oct 12, 2017, 6:54:55 PM","Ran 3,16 km em 12/10/17",Run,Run,1566,3.14,,false,,activities/1503140178.tcx.gz,91.0,,1566.0,1538.0,3147.199951171875,3.700000047683716,,11.523809432983398,8.323800086975098,-0.6000000238418579,8.800000190734863,11.300000190734863,0.10167767852544785,,,,,,,,,354.2248840332031,,,,,,,,,,,,,,,,0.0,,,3168.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
1392987841,"Oct 14, 2017, 8:30:16 PM","Ran 3,17 km em 14/10/17",Run,Run,1574,3.15,,false,,activities/1503141927.tcx.gz,91.0,,1574.0,1543.0,3158.60009765625,3.5999999046325684,,15.983333587646484,,39.099998474121094,49.0,7.699999809265137,0.006331919226795435,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
